dapil,partai,nama,pasangan
asahan,PARTAI SOLIDARITAS INDONESIA,"MERRYANY GIRSANG, M.Sc",DRH. GENDRO WH
asahan,PERSATUAN INDONESIA,Ir. ARYA MAHENDRA SINULINGGA,INDIRA RAWIYAAKHIRTY
asahan,PERSATUAN INDONESIA,"THERESA INAWATY SP, S.H","AKP. JEIFSON SITORUS, S.H., S.I.K."
asahan,PERSATUAN INDONESIA,Dr.. SORTAMAN SARAGIH,Drg. Risma Sitorus
asahan,PERSATUAN INDONESIA,"Dr. BRIGJEN TNI (PURN). AHWAN ISMADI, S.Pd., S.H., M.H.",Khadijah Malbar
asahan,PERSATUAN INDONESIA,ALFATI NOVA,GRAHA ANGGAR PRABAWA
asahan,PERSATUAN INDONESIA,"NATALIA CHRISTANTO, ST",ARDI PUTRA UTAMA
asahan,PERSATUAN INDONESIA,"MUJIYANTA, SH",RUNCI DEWI SARI
bandung-barat,PARTAI AMANAT NASIONAL,H. ERNAWAN NATASAPUTRA,HJ ERNI RUSYANI
bandung-barat,PARTAI BERKARYA,IKA KARTIKA,BUDI AWALUDIN
bandung-barat,PARTAI BERKARYA,DANIEL TOGAR MARINGAN SINAGA,"HOTMA RUMAHORBO, D.R"
bandung-barat,PARTAI BULAN BINTANG,DENI RIYADI,DEPI NURHAYATI
bandung-barat,PARTAI GERAKAN PERUBAHAN INDONESIA,"HETI RUSTIASIH, SE",Agus Suhendra
bandung-barat,PARTAI KEADILAN SEJAHTERA,"AEP NURDIN, S.Ag., M.Si.",Neng Azizah
bandung-barat,PARTAI KEADILAN SEJAHTERA,"Dra.. HJ. IRA DALILAH, M.AP.",Aden Rusmana
bandung-barat,PARTAI KEBANGKITAN BANGSA,NENG RENI SUGANDI,MUHDI PRIBADI
bandung-barat,PARTAI KEBANGKITAN BANGSA,H. JAMIL IHSAN FARUK,NURLAELA
bandung-barat,PARTAI KEBANGKITAN BANGSA,NENG NURJANAH,ENDANG PATONI
bandung-barat,PERSATUAN INDONESIA,Dra.. EUIS ATIKAH,"Drs. R. H. HIDAYAT SASTRAWINATA, M.M."
bandung-barat,PERSATUAN INDONESIA,"USMAN SILITONGA, S.H.","NURHAYATI SAMPERURA, S.H."
bandung-barat,PERSATUAN INDONESIA,WIDYA LATIF TRENGGONO,SITI HIDAYAH
bandung-barat,PERSATUAN INDONESIA,FITRI YULIANA,HELDI CHANDRA
bandung-barat,PARTAI AMANAT NASIONAL,"AHMAD NAJIB QODRATULLAH, SE",YUYUN YUNINGSIH
bandung-barat,PARTAI AMANAT NASIONAL,"Ir. SISWANDA H SUMARTO, MPM","Ir. Hetfah Sjaifudian, MPP, PhD"
bandung-barat,PARTAI AMANAT NASIONAL,"Drs. H. DUDIN SA?DUDIN, M.Si",Eni Ruchyani
bandung-barat,PARTAI AMANAT NASIONAL,Mayjen TNI (Purn). H. RACHMAT BUDIYANTO,INDAH RATNA WIDAYATI
bandung-barat,PARTAI AMANAT NASIONAL,PUSPA DWI PUTRI,Fajar Gumilar
bandung-barat,PARTAI AMANAT NASIONAL,DEWI SUSANTI,U. SUKMARA
bandung-barat,PARTAI AMANAT NASIONAL,ELEN LENI RUBIANTI,AGUS SALIK
bandung-barat,PARTAI AMANAT NASIONAL,YOGI YOGASWARA,CHRISTIANA UTARITASI YULIANI
bandung-barat,PARTAI BERKARYA,"Drs. H. MARWAN EFFENDI, SH., M.Si.",HJ. ELIS TETI ELAWATI
bandung-barat,PARTAI BERKARYA,"Ir. H. ROESTANTO W D, M.M.",Tresa Pratiwi Roestanto
bandung-barat,PARTAI BERKARYA,RACHMA SUTANTY,---
bandung-barat,PARTAI BERKARYA,DENNY SHARIEFFUDIN,HJ. DIAN SUSANTI SOESILO
bandung-barat,PARTAI BERKARYA,"Dra. ALIDA HANDAU LAMPE G., M.Si.",Ir. Hans guyer
bandung-barat,PARTAI BERKARYA,HILMAN BUDI BADARUSUHADA,HANDAYANI
bandung-barat,PARTAI BERKARYA,"IWAN RIDWAN, SH",Dwi Ferryana
bandung-barat,PARTAI BERKARYA,Drs. MUCHTAR SOLI,0
bandung-barat,PARTAI BERKARYA,FITRIAH LINDAWATI,Pratoo Bernianto
bandung-barat,PARTAI BULAN BINTANG,"DR.. H. MS. KABAN, SE.,MSI.",NURMALA DEWI
bandung-barat,PARTAI BULAN BINTANG,"ZULKIFLI, S.Si, M.Si",RIDAR ASTUTI
bandung-barat,PARTAI BULAN BINTANG,"IMAS KARYAMAH, M.Pd",ARIF KURIAWAN
bandung-barat,PARTAI BULAN BINTANG,"AYUB LAKSONO, S.T",YASMIN
bandung-barat,PARTAI BULAN BINTANG,"YASMIN, ST., MM",AYUB LAKSONO
bandung-barat,PARTAI BULAN BINTANG,"Drs. ERI RIDWAN LATIF, M.Ag",YULIA WIDIASARI RAHMAH
bandung-barat,PARTAI BULAN BINTANG,"Hj. SRI WAHYUNI, S.Sn., MM",Drs. MUNTASIR UMAR
bandung-barat,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"Dr. R. ADJENG RATNA SUMINAR, S.H.,M.M.","MAYJEN (PURN) TNI H. Dr. Ir. SUHARNO ,MM"
bandung-barat,PARTAI DEMOKRASI INDONESIA PERJUANGAN,H. YAYAT T. SOEMITRA,Ir. DWINA CANDRAASIH S.MSC
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,RACHEL MARYAM SAYIDINA,MUHAMMAD AKBAR PERDANA
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,"IIS EDHY PRABOWO, S.Hum., MM","EDHY PRABOWO, MM.,MBA"
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,DEDY ABDULLAH,RATNA KAMILA
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,ASEP SUTISNA,ELA ROHAENI
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,DUDDY R DEWAYANA,IYAT YULIATI
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,INDRA WAHYUDI,R. SONYA LYLIE AH
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,MUHAMAD KADAFI,CINTA AMELIA KADAFI
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,"Ir. IWA GARTIWA, MM",ISYANUARI PRIHASTRIANTI
bandung-barat,PARTAI GOLONGAN KARYA,"Dr. TB. H. ACE HASAN SYADZILY, M.Si.","RITA FITRIA, S.Ag, M.Pd"
bandung-barat,PARTAI GOLONGAN KARYA,"Dr. M. SABIL RACHMAN, M.Si",Andi Rukmini
bandung-barat,PARTAI GOLONGAN KARYA,"Ir. H. LILI ASDJUDIREDJA, S.E.","HJ. ITJE SITI DEWI KURAESIN, S.SOS, M.M"
bandung-barat,PARTAI GOLONGAN KARYA,"Ir. H. ANANG SUSANTO, M.Si",Hj. Yanneu Diah Purnama
bandung-barat,PARTAI GOLONGAN KARYA,"H. AGUS MAKMUR SANTOSO, S.Kom., M.M",NELLY YUNIARTI
bandung-barat,PARTAI GOLONGAN KARYA,"FAZWAN KUSUMADINATA, S.E",Karina Indriasti Nugraha
bandung-barat,PARTAI GOLONGAN KARYA,NUNKI JUNIARTI,AGUNG SWASONOYUDHO
bandung-barat,PARTAI GOLONGAN KARYA,"Ir. H. DODDY IMRON CHOLID, M.S",Siti Nurlela
bandung-barat,PARTAI KEADILAN SEJAHTERA,"dr. H. ADANG SUDRAJAT, MM",Evelina Dewi Hapsari
bandung-barat,PARTAI KEADILAN SEJAHTERA,"Dipl. Ing. HJ. DIAH NURWITASARI, M.I.Pol.","Ir. H. Abdul Hadi Wijaya, M.Sc."
bandung-barat,PARTAI KEADILAN SEJAHTERA,"Drs. H. DIDIK AGUS T, M.Pd","HJ. CHAIRINI, SSi"
bandung-barat,PARTAI KEADILAN SEJAHTERA,YANYAN HAERANI,ARIPIN
bandung-barat,PARTAI KEADILAN SEJAHTERA,H. DADANG SUMPENA,TINI SUMARTINI
bandung-barat,PARTAI KEADILAN SEJAHTERA,"HJ. ROSYE DEWI RUSANTI, S.Pd",NAUZIE NOVRYADIN
bandung-barat,PARTAI KEBANGKITAN BANGSA,"HJ. ENUNG DARIAH R, M.PD.I",H. AHMAD HIDAYAT (ALM)
bandung-barat,PARTAI KEBANGKITAN BANGSA,DRS. ADE RATMADJA,RINA BINAWATI
bandung-barat,PARTAI KEBANGKITAN BANGSA,ENJANG HUDORI,NONYH CAHYANI
bandung-barat,PARTAI KEBANGKITAN BANGSA,DRS. H. DEDEN HAMDAN M,"NUR JAMILAH, S.E"
bandung-barat,PARTAI KEBANGKITAN BANGSA,ITA JULAEHA,AHMAD SOLIHAT
bandung-barat,PARTAI NASDEM,"HJ. ENUNG NURYANTI, SPD, M.M.PD","H. MEMET MOCHAMAD SARIEP, SP"
bandung-barat,PARTAI NASDEM,"H. DADANG RUSDIANA, S.E., M.Si",HJ. NONENG KARNENGSIH
bandung-barat,PARTAI NASDEM,"DR. BAMBANG USADI, MM","dr. ANIE DARYULINA , Spkk"
bandung-barat,PARTAI NASDEM,"DR.HJ. EUIS KARWATI, MPD",H.M.Ekik Barkah
bandung-barat,PARTAI NASDEM,H. ADE RODIANA,Hj. Rani Chintiani D.K.
bandung-barat,PARTAI NASDEM,PRIYANTO RAHARJO,Kurnaesih Anita
bandung-barat,PARTAI PERSATUAN PEMBANGUNAN,"ARIZA AGUSTINA, SE, MSi",Wahyu Nugroho
bandung-barat,PARTAI PERSATUAN PEMBANGUNAN,"H. ALI MUBARAK, A.MD PAR., S.E.",Aisha Abdullah
bandung-barat,PARTAI PERSATUAN PEMBANGUNAN,"H. ASEP BADRUZZAMAN, A.KS.",UMI SUMINAR
bandung-barat,PARTAI PERSATUAN PEMBANGUNAN,"AHMAD KHOLISUN, S.Pd.I",candra
bandung-barat,PARTAI PERSATUAN PEMBANGUNAN,TAMRIN YADI,Intan Rospandan Sari
bandung-barat,PARTAI PERSATUAN PEMBANGUNAN,ACH. SAIFUL ULUM,LAYYA
bandung-barat,PARTAI SOLIDARITAS INDONESIA,"FREDI DARMAWAN, SE",Ami Laksmi Kusnadi
bandung-barat,PARTAI SOLIDARITAS INDONESIA,"MILLY RATUDIAN PURBASARI, ST",MUJAHID SHAFIQ MAHMUD AHMAD PONTOH
bandung-barat,PARTAI SOLIDARITAS INDONESIA,"DONNY ROMMY, SS",ELI MEILANI
bandung-barat,PARTAI SOLIDARITAS INDONESIA,MICHAEL ADIWINATA BUDIARTO,Niu Shi Yun
bandung-barat,PARTAI SOLIDARITAS INDONESIA,"JENI WIDIANINGRUM, A.Md",DONY HERMANSYAH
bandung-barat,PARTAI SOLIDARITAS INDONESIA,"DENNY PURNAMA ADI CHANDRA, S.E",NURLENA
bandung-barat,PARTAI SOLIDARITAS INDONESIA,"FITRO DHARMA HERMAWAN, S.DS",HAPPY MIA KARINA
bandung-barat,PERSATUAN INDONESIA,H. ABD. KHALIQ AHMAD,HJ. ETTY DALWIARTI
bandung-barat,PERSATUAN INDONESIA,"RESITA KANIYA, BSBA,MBA",MIRZA TASHDIEQY TABRANI
bandung-barat,PERSATUAN INDONESIA,"Drs. ADE HUSEN KARTADIPURA, SH",SRI WAHYUNI .SH
bandung-barat,PERSATUAN INDONESIA,"Dr. ADJAT DARADJAT, M.Si","HJ. KETTY SUKAESIH, SE"
bandung-barat,PERSATUAN INDONESIA,"AYA SOPHIA, SE",HERI SUSANTO
bandung-barat,PERSATUAN INDONESIA,"DONI BALNADI KOERDI, S.Sos.,M.Si",Dra. DIANA ZULKANIADEWI
bandung-barat,PERSATUAN INDONESIA,"NUSLIH JAMIAT, SE.,MM",R. INA DAMAYANTI S.Sos
bandung-barat,PERSATUAN INDONESIA,HJ. RINA YULIA MARTINA,EDI JUNAEDI
bandung-barat,PERSATUAN INDONESIA,"Drs. BERTHY BARNABAS RAHAWARIN, S.H",DIANA DHARMAPUTRI
bekasi,PARTAI AMANAT NASIONAL,"Ir. ATANG, MP",Ir SRI MARATUN
bekasi,PARTAI AMANAT NASIONAL,MARYONO,"SUMARNI, S.Pd."
bekasi,PARTAI AMANAT NASIONAL,"ERY MAHDI, SE",BURHANI MARIDIS
bekasi,PARTAI AMANAT NASIONAL,"AKMALIA YUSUF, S.Pd.I",H. RISWANDI AKHIRUDDIN
bekasi,PARTAI AMANAT NASIONAL,DEVI PUSPANING RAHAYU,RAYKI NATO PUTRA
bekasi,PARTAI BERKARYA,JAYADI,YANI SURYANI
bekasi,PARTAI BERKARYA,"ABDILLAH, S.H","NINA WIDIASTUTI,SE"
bekasi,PARTAI BERKARYA,"RISTIN ISTIANTI, S.E",O
bekasi,PARTAI BERKARYA,DIDIT HERDINI,LUKI
bekasi,PARTAI BERKARYA,HAN HAN SUBHANUDIN,VIVI YANTRI
bekasi,PARTAI BERKARYA,IR. DIDIET ARRY SUPARNO,LIANI RAHAYU
bekasi,PARTAI BULAN BINTANG,YANI SURYANI FIKRIAH,MULYANA HIDAYAT
bekasi,PARTAI KEADILAN DAN PERSATUAN INDONESIA,"DODI SUGIANTO, SH.,M.H.",IMAS NUR KOMARASSARI
bekasi,PARTAI KEADILAN SEJAHTERA,"DR.. ABDUL JABAR MAJID, M.A","Wardah Noer, Lc"
bekasi,PARTAI KEADILAN SEJAHTERA,"H. FAIZAL HAFAN FARID, SE, M.Si",Lusiana Rachmawati
bekasi,PARTAI KEADILAN SEJAHTERA,"HJ. DEWI FITRI LESTARI, SS",Akhmad Hisyam
bekasi,PARTAI KEADILAN SEJAHTERA,"CHAERUNNISSA, SP., M.Ak",Noval Tajudin
bekasi,PARTAI KEADILAN SEJAHTERA,"H. ZAINUDHIN, SE, M.Si","HJ HANA NURLIANA, SE, MM"
bekasi,PARTAI KEADILAN SEJAHTERA,dr. ADROHASLIN,"HALIM, M.Si"
bekasi,PARTAI KEBANGKITAN BANGSA,"ABDUL KHOLIK, SE",SITI ROMLAH
bekasi,PARTAI KEBANGKITAN BANGSA,EDI JUNAEDI,TITA ROSITA
bekasi,PARTAI KEBANGKITAN BANGSA,AGUS ARIF,CICIH WIDIA NINGSIH
bekasi,PARTAI KEBANGKITAN BANGSA,HJ.YATI NURHAYATI,H.ASEP DARMA
bekasi,PARTAI KEBANGKITAN BANGSA,AGUS MIFTAH,HENI SULISTYOWATI
bekasi,PERSATUAN INDONESIA,AYUN SRI DAMAYANTI WAHYUNI,DENNY ADIN
bekasi,PERSATUAN INDONESIA,NAPIT NADIH NURCAHYADIH,IDA HAMIDA
bekasi,PERSATUAN INDONESIA,"SAMIN SAPUTRA, SE.,M.M","JAMAH NURYANAH S,Pdi"
bekasi,PERSATUAN INDONESIA,UMAR BAHTIAR,IIS SAIMAH
bekasi,PERSATUAN INDONESIA,"SUSI AGUSTINA, S.Pd.I., M.Pd","IWAN SIGIT SUTESTYO, S.T"
bekasi,PERSATUAN INDONESIA,"DEWI MURTHASIAH, S.Hum",MARWADI
bekasi,PARTAI AMANAT NASIONAL,"DAENG MUHAMMAD, SE.,MSi",NURAINI
bekasi,PARTAI AMANAT NASIONAL,DR. HJ. MEILINA KARTIKA KADIR,ASEP JOKO RAHARJO
bekasi,PARTAI AMANAT NASIONAL,"dr. ASEP HIDAYAT LUKMAN, MM",HANNA NURLAELA
bekasi,PARTAI AMANAT NASIONAL,"Ir. CHAIRUL RAZAK, M.E",TRIWAHYUNI
bekasi,PARTAI AMANAT NASIONAL,"RAHMAT, SH.I",RIAKHA RENGGANISWARA
bekasi,PARTAI BERKARYA,"INDIRAYANI KOSTININGTYAS, SE",0
bekasi,PARTAI BERKARYA,"Dr. Ir. H. NASEP RACHMAT, MM., M.Si.",0
bekasi,PARTAI BERKARYA,Drs. BAMBANG ABIMANYU,Hj. Ut Tjatur Rahayu
bekasi,PARTAI BERKARYA,"SONYA RIZKY, SE",Ahmad Jaya Adiguna
bekasi,PARTAI BERKARYA,"ASEP AGUSTIAN, SH, MH",DITA CAHYA FITRIA
bekasi,PARTAI BERKARYA,H. ABU BAKAR,Alm. Hj. Rohaya
bekasi,PARTAI BERKARYA,"Dra. ASMAULHUSNA ADAM, M.Pd.",P. RAHARDJO (ALM)
bekasi,PARTAI BERKARYA,"HARTONO SINGGIH, S.IP, MM",R.A FATIMAH TJANDRANEGARA
bekasi,PARTAI BERKARYA,"BADRUL MUNIR, SE",0
bekasi,PARTAI BULAN BINTANG,"AZHAR AUNG, SH., S.Pi., M.Si",NURUL KHOLIFAH
bekasi,PARTAI BULAN BINTANG,Prof. DR. SANUSI UWES,AD SUPRIYATI
bekasi,PARTAI BULAN BINTANG,Drs. H. M. SALEH MANAF,CUT ROSMA
bekasi,PARTAI BULAN BINTANG,Ir. ABD KADIR ASSEGAF,S. AISYAH ALAYDRUS
bekasi,PARTAI BULAN BINTANG,"RIANA MELADEWI, SH.,MKn",J
bekasi,PARTAI BULAN BINTANG,MUHAMMAD RIDWAN,SITI JULAEHA
bekasi,PARTAI BULAN BINTANG,"YUSMAN DAWOLO, S.Kom.I",YULIANINGSIH
bekasi,PARTAI BULAN BINTANG,TINA MELINDA,SATRIA AKBAR
bekasi,PARTAI DEMOKRASI INDONESIA PERJUANGAN,DEDEN DARMANSAH,SITI NURBAETI
bekasi,PARTAI GERAKAN INDONESIA RAYA,drg. PUTIH SARI,MUHAMAD ALIPUDIN
bekasi,PARTAI GERAKAN INDONESIA RAYA,"H. RUSTANDIE, SH",HJ.BETY SUSILAWATI
bekasi,PARTAI GERAKAN INDONESIA RAYA,Ir. ARIA SULHAN WITOELAR,RADIANTINI WITOELAR
bekasi,PARTAI GERAKAN INDONESIA RAYA,DERRY DRAJAT,IBU ALM. AFNENDA ASRIL
bekasi,PARTAI GERAKAN INDONESIA RAYA,ANY MARIANY TENGKER,ANDI MUH BUDIMAN FAISAL
bekasi,PARTAI GERAKAN INDONESIA RAYA,"H. DARIS, SH",Hj. NENIH
bekasi,PARTAI GERAKAN INDONESIA RAYA,"NACE PERMANA, SE.,M.IKom",NENENG YULIA ROSI
bekasi,PARTAI GERAKAN INDONESIA RAYA,"HJ. SUSILAWATI, SE",H. PULUNGAN
bekasi,PARTAI GERAKAN INDONESIA RAYA,"DR. SUDJUD SIRADJUDDIN, SH., MH",SYAWLIYANTI
bekasi,PARTAI GOLONGAN KARYA,"DEDI MULYADI, S.H",HJ. ANNE RATNA MUSTIKA
bekasi,PARTAI GOLONGAN KARYA,Drs. DADANG S MUCHTAR,HJ. NURSOFA
bekasi,PARTAI GOLONGAN KARYA,"Drs. JENRI M.P PANJAITAN, M.H",MARINA JULANITA SARAGIH
bekasi,PARTAI GOLONGAN KARYA,NURUL ATIQ TAJUDDIN,Hana Luthfiana
bekasi,PARTAI GOLONGAN KARYA,MOH. SUAIB,Fitri Sahwiarani
bekasi,PARTAI GOLONGAN KARYA,"MOHAMMAD AMIN FAUZI, S.H., M.Si",HJ. ANITA PERMATASARI
bekasi,PARTAI GOLONGAN KARYA,Drs. R. HADYMARTOMO,WAJ ALNA KHAIRAT TANJUNG
bekasi,PARTAI KEADILAN SEJAHTERA,AHMAD SYAIKHU,"LILIK WAKHIDAH, SE"
bekasi,PARTAI KEADILAN SEJAHTERA,"DR. H. SADUDDIN, MM.",CUCU SUGIARTI
bekasi,PARTAI KEADILAN SEJAHTERA,"RATNA MULYA MADURANI, S. H","Djoko Irwan Permadi, S.H."
bekasi,PARTAI KEADILAN SEJAHTERA,Drs. THOHA MAHSUN,Dra. N.E. Nurbayani
bekasi,PARTAI KEADILAN SEJAHTERA,ASEP IRAWAN,Wulan Puspasari
bekasi,PARTAI KEADILAN SEJAHTERA,"HJ. DWI SEPTIAWATI, S.Pd.",addy Kusrady
bekasi,PARTAI KEADILAN SEJAHTERA,"PIPIN SOPIAN, S.Sos., IMRI",SULIANA EKI LARA MAHYANTI
bekasi,PARTAI KEADILAN SEJAHTERA,TIA TRESNAWATI,Imam Hambali
bekasi,PARTAI KEADILAN SEJAHTERA,H. NANANG IMAM FIRDAUS,YENI OKTAVIA
bekasi,PARTAI KEBANGKITAN BANGSA,H. SYAIFUL HUDA,NIA KURNIANI
bekasi,PARTAI KEBANGKITAN BANGSA,ABDUL ROCHMAN,YUSI ISNADIYAH
bekasi,PARTAI KEBANGKITAN BANGSA,"Hj. EVI FATIMAH, S.AG.,M.AP",SUTANTO UTOMO
bekasi,PARTAI KEBANGKITAN BANGSA,"JON RAMADHAN, M.Si.",YUNINGSIH
bekasi,PARTAI KEBANGKITAN BANGSA,"H. NOOR JUMAN, S.AG","HJ. NANI YUNINGSIH, S.AG"
bekasi,PARTAI KEBANGKITAN BANGSA,"HJ. VERA SUSANTI, S.AG., M.PD","DR. H. MUHAMMAD FAESAL, MH., M.PD"
bekasi,PARTAI KEBANGKITAN BANGSA,"H. M. ATHOILLAH MURSJID, M.Si.","HJ SITI RODIAH, HJ NAFSIAH"
bekasi,PARTAI KEBANGKITAN BANGSA,"RIKA OKTARIANI, S.IKOM",AGUS SUFRIADI
bekasi,PARTAI KEBANGKITAN BANGSA,"SALMAN ASSAGAF, S.SOS",SUNARTI
bekasi,PARTAI KEBANGKITAN BANGSA,"AHMAD FAISAL, S.HI",ROSALIA RAHMA DEWI
bekasi,PARTAI NASDEM,DELLA PUSPITA,Jocky Fernando
bekasi,PARTAI NASDEM,DRG. FERRY THOMAS TATO LATANNA,ERNITA JULI SARAGIH
bekasi,PARTAI NASDEM,"DR. NIRU ANITA SINAGA, SH,MH",IR. TIBERIUS ZALUCHU
bekasi,PARTAI NASDEM,BARTO TANGDIBALI,El- Eka Kristiani Susilawati
bekasi,PARTAI PERSATUAN PEMBANGUNAN,Dra. WARDATUL ASRIAH,"Drs. H. Suryadharma Ali, M.Si"
bekasi,PARTAI PERSATUAN PEMBANGUNAN,HJ. SITI NURMILA,H. Nahari Muslih SH
bekasi,PARTAI PERSATUAN PEMBANGUNAN,SLAMET GUNAWAN,DEWI PERMATA HATI
bekasi,PARTAI PERSATUAN PEMBANGUNAN,"ZAKY MAHENDRA ZULKARNAEN, S.PD.",AMIRAH YASMINE
bekasi,PARTAI PERSATUAN PEMBANGUNAN,"DINUL HUSNAN, S.Pd.I","Reri Surya Ningsih, SE"
bekasi,PARTAI PERSATUAN PEMBANGUNAN,"NENENG LASMITA SUSANTI, SE., M.Ak",ANWAR MUSYADAD
bekasi,PARTAI PERSATUAN PEMBANGUNAN,RAHMAT HIDAYAT,Bayu Supriatin
bekasi,PARTAI PERSATUAN PEMBANGUNAN,"H. SHALIH MANGARA, SH. MH",Sri Wahyuni Setyowati
bekasi,PARTAI SOLIDARITAS INDONESIA,"HABIB. MUANNAS, SH",HERNA WATI
bekasi,PARTAI SOLIDARITAS INDONESIA,"GATOT IMAM NUGROHO, MBA",Titi Ratih Dianti
bekasi,PARTAI SOLIDARITAS INDONESIA,ALBERT MARTINUS,IRMA SARI WOIMBON
bekasi,PARTAI SOLIDARITAS INDONESIA,"NELLY MARIA SAMOSIR, M.Pd",LAMPOT PURBA
bekasi,PARTAI SOLIDARITAS INDONESIA,MAHAYONI,ARINA SARI
bekasi,PARTAI SOLIDARITAS INDONESIA,HERMAN,Dina Liliyana
bekasi,PARTAI SOLIDARITAS INDONESIA,"ONDO EBENEZER H P, S.Kom",MERRY CHRISTINE
bekasi,PERSATUAN INDONESIA,"CAROL DANIEL KADANG, SE, MM.",IR MONICA LEWA KADANG
bekasi,PERSATUAN INDONESIA,"DENNY ADIN, SE",AYUN SRI DAMAYANTI WAHYUNI
bekasi,PERSATUAN INDONESIA,"ANGEL LELGA, S.E",VICKY PRASETYO
bekasi,PERSATUAN INDONESIA,"H. EK BUDI SANTOSO, SE.,MM",ERMEIDA NELLI
bekasi,PERSATUAN INDONESIA,"ROHMAT, SH.,MH",IMAS MARIAH
bekasi,PERSATUAN INDONESIA,H. M. FERRARI NURRACHADIAN,EUIS NURMALASARI
bekasi,PERSATUAN INDONESIA,"SAHRONI SURYANA, SH",NAMAH
bener-meriah,PARTAI AMANAT NASIONAL,SYIRAJUDDIN,RINA AWALIYAH PANJAITAN
bener-meriah,PARTAI AMANAT NASIONAL,BUSTAMAM ARDY,MARYATI
bener-meriah,PARTAI AMANAT NASIONAL,WAHYUNI,JULIANTO ARGI
bener-meriah,PARTAI AMANAT NASIONAL,LAELA HAYATI,RAHMAD PADLI
bener-meriah,PARTAI AMANAT NASIONAL,FADLI ULFA,TA JIAH
bener-meriah,PARTAI AMANAT NASIONAL,SYAPARUDDIN,ZAELAWATI
bener-meriah,PARTAI BERKARYA,RUHAMAN SUHADA,NURAINI
bener-meriah,PARTAI BULAN BINTANG,IR.. DJUMHUR,Rizkani
bener-meriah,PARTAI BULAN BINTANG,IR.. M. ALI,"ASMAWATI, BA"
bener-meriah,PARTAI BULAN BINTANG,MUZAWIRAH,zulkifli idris
bener-meriah,PARTAI BULAN BINTANG,"MUHAMMAD DARUL, S.P","SUSPARIDAINI, S.Kep"
bener-meriah,PARTAI BULAN BINTANG,"ASFI NURTILAWAH, A.Md. Keb",RAHMADI
bener-meriah,PARTAI BULAN BINTANG,BANTASYAM,RASIDAH
bener-meriah,PARTAI DEMOKRAT,"IR.. ALAIDIN ABU ABBAS, MM.","HJ. NILAWATI, S.PD."
bener-meriah,PARTAI DEMOKRAT,NIRFAN JAYA,"ERNAWATI, S.PD."
bener-meriah,PARTAI DEMOKRAT,JURAIDAH,SAPARUDIN
bener-meriah,PARTAI DEMOKRAT,"FIRMAN YOGA, ST.",dr. EVI NABILA
bener-meriah,PARTAI DEMOKRAT,MUHAMMAD YASIN,SUSILAWATI
bener-meriah,PARTAI DEMOKRAT,"SUCI RAHMAWATI, S.Pd.",Sutri Handoko
bener-meriah,PARTAI GERAKAN INDONESIA RAYA,"Drs. H. TAUFIK, MM",RAFIQAH
bener-meriah,PARTAI GERAKAN INDONESIA RAYA,"BINAKIR, S.K.M",Hj. HALIMAH
bener-meriah,PARTAI GERAKAN INDONESIA RAYA,SRI WAHYULI,EDI KURNIAWAN
bener-meriah,PARTAI GERAKAN INDONESIA RAYA,"AMIRUDDIN, SE","MUSFIRAH, M.Pd"
bener-meriah,PARTAI GERAKAN INDONESIA RAYA,CHAIDIR,"ERNI SAFWAR, SP"
bener-meriah,PARTAI GOLONGAN KARYA,HENDRA BUDIAN,SORAYA H. M. ISA
bener-meriah,PARTAI GOLONGAN KARYA,DJULIATI,MUDARLIAN
bener-meriah,PARTAI GOLONGAN KARYA,INDRA GUNAWAN,CHADIJAH BACHRUM
bener-meriah,PARTAI GOLONGAN KARYA,SASMAYATI,Ir. M. Sarkati
bener-meriah,PARTAI GOLONGAN KARYA,"ARAMIKO ARITONANG, S.Sos",WULANDARI ASWIRAH S.Pd
bener-meriah,PARTAI KEBANGKITAN BANGSA,SALIHIN,SARINEM
bener-meriah,PARTAI KEBANGKITAN BANGSA,"ALAMSYAH MAHMUD GAYO, SH. MM",SARWIANA
bener-meriah,PARTAI KEBANGKITAN BANGSA,"ROSNAWITA, S.Sos",TEUKU NARENSYAH
bener-meriah,PARTAI KEBANGKITAN BANGSA,JUSRIADI,KASMAWATI
bener-meriah,PARTAI NASDEM,RAMADHANA LUBIS,Rahmayani
bener-meriah,PARTAI NASDEM,DESI ANI,Taufik Rusdi
bener-meriah,PARTAI NASDEM,"Drs, H.. T. ISLAH, M.Si",Rahmawati
bener-meriah,PARTAI NASDEM,"AMPERA G, ST, MT",Hanisa Fitri
bener-meriah,PARTAI SIRA,BUCHARI,NURSIDAH
bener-meriah,PARTAI SIRA,MUHAMMAD,SUARNI
bener-meriah,PARTAI SIRA,AFRILIZA AMALIA SIREGAR,SYUKURRULLAH
bener-meriah,PERSATUAN INDONESIA,MAIDA SARI,AZHARI
bener-meriah,PARTAI AMANAT NASIONAL,TEUKU HASBULLAH. HD,Dewi Diana Aji
